id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
MGM000322;FP-01-PM7-DRY-GRP9-DC58;;DOCTOR;Installed;PM7.G9.DYC58/DR/GM;4672;https://www.safesave.info/MIC.php?id=Fajar-MotorList4672;2023-10-27 12:27:14
MGM000323;FP-01-PM7-DRY-GRP9-DC59;;DOCTOR;Installed;PM7.G9.DYC59/DR/GM;4673;https://www.safesave.info/MIC.php?id=Fajar-MotorList4673;2023-10-27 12:27:15
EMO001836;FP-01-PM7-DRY-GRP1;;MOTOR;Installed;G1.GB/M;4674;https://www.safesave.info/MIC.php?id=Fajar-MotorList4674;2023-10-27 12:27:16
EMO001837;FP-01-PM7-DRY-GRP1-DC01;;MOTOR;Installed;G1.DYC1/GB/M;4675;https://www.safesave.info/MIC.php?id=Fajar-MotorList4675;2023-10-27 12:27:17
EMO001834;FP-01-PM7-WET-PRS2-PSRB;;MOTOR;Installed;P2.R(BT)/GB/M;4676;https://www.safesave.info/MIC.php?id=Fajar-MotorList4676;2023-10-27 12:27:18
EMO001833;FP-01-PM7-WET-PRS2-PSRT;;MOTOR;Installed;P2.R(SH)/GB/M;4677;https://www.safesave.info/MIC.php?id=Fajar-MotorList4677;2023-10-27 12:27:19
EMO001831;FP-01-PM7-WET-PRS1-PSRB;;MOTOR;Installed;P1.R(BT)/GB/M;4678;https://www.safesave.info/MIC.php?id=Fajar-MotorList4678;2023-10-27 12:27:20
EMO001830;FP-01-PM7-WET-PRS1-PSRT;;MOTOR;Installed;P1.R(SH)/GB/M;4679;https://www.safesave.info/MIC.php?id=Fajar-MotorList4679;2023-10-27 12:27:21
EMO003413;FP-01-PM7-WET-BTWR-WR02;;"MOTOR;420V,71Hz,90KW,4P,145A";Installed;PM7.BTW.WR2(T)/M;4680;https://www.safesave.info/MIC.php?id=Fajar-MotorList4680;2023-10-27 12:27:22
EMO001825;FP-01-PM7-WET-BTWR-SCR1;;MOTOR;Installed;BTW.SCR/GB/M;4681;https://www.safesave.info/MIC.php?id=Fajar-MotorList4681;2023-10-27 12:27:23
EMO001826;FP-01-PM7-WET-BTWR-DR01;;MOTOR;Installed;BTW.DR/GB/M;4682;https://www.safesave.info/MIC.php?id=Fajar-MotorList4682;2023-10-27 12:27:24
EMO001829;FP-01-PM7-WET-TPWR-WR01;;MOTOR;Installed;TW.WR1/GB/M;4683;https://www.safesave.info/MIC.php?id=Fajar-MotorList4683;2023-10-27 12:27:25
EMO001828;FP-01-PM7-WET-TPWR-DR01;;MOTOR;Installed;TW.DR/GB/M;4684;https://www.safesave.info/MIC.php?id=Fajar-MotorList4684;2023-10-27 12:27:26
EMO003927;FP-01-PM7-WET-TPFR-DR01;;MOTOR;Installed;TF.DR/GB/M;4685;https://www.safesave.info/MIC.php?id=Fajar-MotorList4685;2023-10-27 12:27:27
EMO001839;FP-01-PM7-DRY-GRP2;;MOTOR;Installed;G2.GB2/M;4686;https://www.safesave.info/MIC.php?id=Fajar-MotorList4686;2023-10-27 12:27:28
EMO001838;FP-01-PM7-DRY-GRP2;;MOTOR;Installed;G2.GB1/M;4687;https://www.safesave.info/MIC.php?id=Fajar-MotorList4687;2023-10-27 12:27:29
EMO004909;FP-01-PM7-DRY-GRP3-CR12;;"AC MOTOR;420V,50Hz,75kW,4P,250M,B3";Installed;PM7.G3.CR12(D)/M;4688;https://www.safesave.info/MIC.php?id=Fajar-MotorList4688;2023-10-27 12:27:30
EMO004907;FP-01-PM7-DRY-GRP3-CR03;;"AC MOTOR;420V,50Hz,75kW,4P,250M,B3";Installed;PM7.G3.CR3(D)/M;4689;https://www.safesave.info/MIC.php?id=Fajar-MotorList4689;2023-10-27 12:27:31
EMO004910;FP-01-PM7-DRY-GRP3-CR14;;"AC MOTOR;420V,50Hz,75kW,4P,250M,B3";Installed;PM7.G3.CR14(D)/M;4690;https://www.safesave.info/MIC.php?id=Fajar-MotorList4690;2023-10-27 12:27:32
EMO004908;FP-01-PM7-DRY-GRP3-CR04A;;"AC MOTOR;420V,50Hz,75kW,4P,250M,B3";Installed;PM7.G3.CR4A(D)/M;4691;https://www.safesave.info/MIC.php?id=Fajar-MotorList4691;2023-10-27 12:27:33
EMO005185;FP-01-PM7-CSC-T182-P249;;"AC MOTOR;380V,50Hz,7.5kW,2P,132S,B3";Installed;PM7.FDB-P/M;4692;https://www.safesave.info/MIC.php?id=Fajar-MotorList4692;2023-10-27 12:27:34
EMO005184;FP-01-PM7-CSC-T181-P248;;"AC MOTOR;380V,50Hz,7.5kW,2P,132S,B3";Installed;PM7.C-S-P/M;4693;https://www.safesave.info/MIC.php?id=Fajar-MotorList4693;2023-10-27 12:27:35
MFB000192;FP-01-PM7-MCL-BL20;;"VACUUM BLOWER;G2002BH19437GH47,G DENVER";Installed;PM7.MULTI.JET(M-CLEAN);4694;https://www.safesave.info/MIC.php?id=Fajar-MotorList4694;2023-10-27 12:27:36
EMO001607;FP-01-PM7-APS-T014-P039;;"MOTOR AC;1000KW;1000A;6P;690V;B";Installed;P-AP-10/M;4695;https://www.safesave.info/MIC.php?id=Fajar-MotorList4695;2023-10-27 12:27:37
EMO001698;FP-01-PM7-APS-T038-P035;;"MOTOR;1000KW;6P";Installed;P-AP-6/M;4696;https://www.safesave.info/MIC.php?id=Fajar-MotorList4696;2023-10-27 12:27:38
EMO001700;FP-01-PM7-APS-T038-P038;;"MOTOR AC;450KW;705A;4P;380V;B";Installed;P-AP-9/M;4697;https://www.safesave.info/MIC.php?id=Fajar-MotorList4697;2023-10-27 12:27:39
EMO000366;FP-01-PM7-CAL-CAL1-SMR1;;MOTOR;Installed;PM7.CALENDER BOTTOM MOTOR;4698;https://www.safesave.info/MIC.php?id=Fajar-MotorList4698;2023-10-27 12:27:40
EMO000364;FP-01-PM7-CAL-CAL1-SPDR;;MOTOR;Installed;PM7.CALENDER SPREADER ROLL MOT;4699;https://www.safesave.info/MIC.php?id=Fajar-MotorList4699;2023-10-27 12:27:41
EMO000365;FP-01-PM7-CAL-CAL1-TPR1;;"AC MOTOR;380V,50HZ,15KW,2P";Installed;PM7.CALENDER TOP MOTOR;4700;https://www.safesave.info/MIC.php?id=Fajar-MotorList4700;2023-10-27 12:27:42
EMO000369;FP-01-PM7-CUT-RWD1;;MOTOR;Installed;PM7.MOUNT HOPE ROLL MOTOR;4701;https://www.safesave.info/MIC.php?id=Fajar-MotorList4701;2023-10-27 12:27:43
EMO000060;FP-01-PM7-CUT-RWD1;;MOTOR;Installed;PM7.SLITER 1/M;4702;https://www.safesave.info/MIC.php?id=Fajar-MotorList4702;2023-10-27 12:27:45
EMO000064;FP-01-PM7-CUT-RWD1;;MOTOR;Installed;PM7.SLITER 2/M;4703;https://www.safesave.info/MIC.php?id=Fajar-MotorList4703;2023-10-27 12:27:46
EMO001991;FP-01-SP7-VAS-T068-P115;10010668;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";Installed;P-S-2/M;4704;https://www.safesave.info/MIC.php?id=Fajar-MotorList4704;2023-10-27 12:27:47
EMO000116;FP-01-PM7-CUT-RWD1;;MOTOR;Installed;PM7.SLITER 4/M;4705;https://www.safesave.info/MIC.php?id=Fajar-MotorList4705;2023-10-27 12:27:48
EMO000118;FP-01-PM7-CUT-RWD1;;MOTOR;Installed;PM7.SLITER 5/M;4706;https://www.safesave.info/MIC.php?id=Fajar-MotorList4706;2023-10-27 12:27:49
EMO000119;FP-01-PM7-CUT-RWD1;;MOTOR;Installed;PM7.SLITER 6/M;4707;https://www.safesave.info/MIC.php?id=Fajar-MotorList4707;2023-10-27 12:27:50
EMO000120;FP-01-PM7-CUT-RWD1;;MOTOR;Installed;PM7.SLITER 7/M;4708;https://www.safesave.info/MIC.php?id=Fajar-MotorList4708;2023-10-27 12:27:51
