id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO002369;FP-01-IN2-ATF-R601;;MOTOR BOILER ASH VALVE (A);Install;IN2-ATF-R601-M/R601 A;5439;https://www.safesave.info/MIC.php?id=Fajar-MotorList5439;
EMO002370;FP-01-IN2-ATF-R601;;MOTOR BOILER ASH VALVE (B);Install;IN2-ATF-R601-M/R601 B;5440;https://www.safesave.info/MIC.php?id=Fajar-MotorList5440;
EMO002372;FP-01-IN2-ATF-R602;;MOTOR AIR HEATER ASH VALVE;Install;IN2-ATF-R602-M/R602;5441;https://www.safesave.info/MIC.php?id=Fajar-MotorList5441;
EMO002377;FP-01-IN2-ATF-C604;;MOTOR ASH TRANSVER CONVEYOR 1;Install;IN2-ATF-C604-M/C604;5442;https://www.safesave.info/MIC.php?id=Fajar-MotorList5442;
EMO002382;FP-01-IN2-MCF-T702;;MOTOR INCINERATOR COOLING WATER PUMP (A);Install;IN2-MCF-T702-M/701 A;5443;https://www.safesave.info/MIC.php?id=Fajar-MotorList5443;
EMO002383;FP-01-IN2-MCF-T702;;MOTOR INCINERATOR COOLING WATER PUMP (B);Install;IN2-MCF-T702-M/701 B;5444;https://www.safesave.info/MIC.php?id=Fajar-MotorList5444;
EMO002384;FP-01-IN2-MCF-T702;;MOTOR PLANT COOLING WATER PUMP (A);Install;IN2-MCF-T702-M/702  A;5445;https://www.safesave.info/MIC.php?id=Fajar-MotorList5445;
EMO002385;FP-01-IN2-MCF-T702;;MOTOR PLANT COOLING WATER PUMP (B);Install;IN2-MCF-T702-M/702  B;5446;https://www.safesave.info/MIC.php?id=Fajar-MotorList5446;
EMO002389;FP-01-IN2-MCF-T703;;MOTOR OIL FEED PUMP (B);Install;IN2-MCF-T703-M/703 B;5447;https://www.safesave.info/MIC.php?id=Fajar-MotorList5447;
EMO003339;FP-01-IN2-ATF-C603;10023032;MOTOR 2.2KW,50HZ,380V;Install;IN2-ATF-C603-M/C603 A;5448;https://www.safesave.info/MIC.php?id=Fajar-MotorList5448;
EMO002374;FP-01-IN2-ATF-C603;10023032;MOTOR BAG FILTER ASH DISCHARGE CONV (B);Install;IN2-ATF-C603-M/C603 B;5449;https://www.safesave.info/MIC.php?id=Fajar-MotorList5449;
EMO002375;FP-01-IN2-ATF-R603;;MOTOR BAG FILTER ASH VALVE (A);Install;IN2-ATF-R603-M/R603 A;5450;https://www.safesave.info/MIC.php?id=Fajar-MotorList5450;
EMO002376;FP-01-IN2-ATF-R603;;MOTOR BAG FILTER ASH VALVE (B);Install;IN2-ATF-R603-M/R603 B;5451;https://www.safesave.info/MIC.php?id=Fajar-MotorList5451;
EMO002265;FP-01-IN1-WFF-CRSR-P001;;HYDROLIK MOTOR UNTUK CRUSHER;Install;IN1.WFF.CRSR/P001/M-90;5452;https://www.safesave.info/MIC.php?id=Fajar-MotorList5452;
EMO000023;;10010507;"AC MOTOR;380V,50Hz,2.2kW,6P,112M";Available;IN1.WFF.CRSR.COOL/M-91;5453;https://www.safesave.info/MIC.php?id=Fajar-MotorList5453;
