id;material_number;equipment_description;status;sort_field;unique_id;qr_code_link
MGM000950;10034853;"GR.MOTOR;11kW,i=56.64,Z149-LE160MF4E,FLE";Installed;SP3.DP.CN17/RJC4/GM;2025;https://www.safesave.info/MIC.php?id=Fajar-MotorList2025
EMO005072;10035729;"AC MOTOR;380V,50Hz,55kW,4P,250M,B3";Installed;SP3.DP1.LRC1/COMPACTOR1/M;2026;https://www.safesave.info/MIC.php?id=Fajar-MotorList2026
EMO005074;;"AC MOTOR;380V,50Hz,0.55kW,4P,80M,B5";Installed;SP3.DP1.LRC1/COMPACTOR1/FAN/M;2027;https://www.safesave.info/MIC.php?id=Fajar-MotorList2027
EMO005073;10035729;"AC MOTOR;380V,50Hz,55kW,4P,250M,B3";Installed;SP3.DP1.LRC2/COMPACTOR2/M;2028;https://www.safesave.info/MIC.php?id=Fajar-MotorList2028
EMO005075;;"AC MOTOR;380V,50Hz,0.55kW,4P,80M,B5";Installed;SP3.DP1.LRC2/COMPACTOR2/FAN/M;2029;https://www.safesave.info/MIC.php?id=Fajar-MotorList2029
EMO005076;;"AC MOTOR;380V,50Hz,1.5kW,4P,90L,V1";Installed;SP3_LRC_HD10/HYD_COMPACTOR/M;2030;https://www.safesave.info/MIC.php?id=Fajar-MotorList2030
EMO005077;;"AC MOTOR;380V,50Hz,1.5kW,4P,90L,V1";Installed;SP3_LRC_HD11/HYD_COMPACTOR/M;2031;https://www.safesave.info/MIC.php?id=Fajar-MotorList2031
EMO005078;10036932;"AC MOTOR;380V,50Hz,90kW,4P,280M,V5";Installed;SP3.OCC.SR19/TC(S)/M;2032;https://www.safesave.info/MIC.php?id=Fajar-MotorList2032
EMO005079;10036932;"AC MOTOR;380V,50Hz,90kW,4P,280M,V5";Installed;SP3.OCC.SR20/TC(S)/M;2033;https://www.safesave.info/MIC.php?id=Fajar-MotorList2033
MGM001050;;"GR.MOTOR;2.2kW,i=2.595,K86 DV/12,SEW";Installed;SP3.SP.33/GM/KNIFE;2034;https://www.safesave.info/MIC.php?id=Fajar-MotorList2034
EMO005088;;"AC MOTOR;380V,50Hz,0.55kW,4P,80M,B5";Installed;SP3.RJ07/M;2035;https://www.safesave.info/MIC.php?id=Fajar-MotorList2035
EMO004955;;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";Installed;SP3.C24/P51/M;2036;https://www.safesave.info/MIC.php?id=Fajar-MotorList2036
EMO003883;;"AC MOTOR;380V,50Hz,132kW,4P,315M,B3";Installed;SP3.C8/P16/M;2037;https://www.safesave.info/MIC.php?id=Fajar-MotorList2037
EMO003892;;"AC MOTOR;380V,50Hz,45kW,4P,225S,B3";Installed;PM3-BR06/P46/M;2038;https://www.safesave.info/MIC.php?id=Fajar-MotorList2038
EMO005154;;"AC MOTOR;380V,50Hz,55kW,4P,250M,B3";Installed;SP3.P-DP-1/M;2039;https://www.safesave.info/MIC.php?id=Fajar-MotorList2039
EMO005083;;"AC MOTOR;380V,50Hz,37kW,4P,225S,B3";Installed;SP3.OCC.T112.P196/P/M;2040;https://www.safesave.info/MIC.php?id=Fajar-MotorList2040
EMO005084;;"AC MOTOR;380V,50Hz,37kW,4P,225S,B3";Installed;SP3.OCC.T112.P197/P/M;2041;https://www.safesave.info/MIC.php?id=Fajar-MotorList2041
EMO003540;;"AC MOTOR;3000V,50Hz,300kW,6P,400AC,B3";Installed;PM3.VP10/M;2042;https://www.safesave.info/MIC.php?id=Fajar-MotorList2042
EMO002088;10020927;"AC MOTOR;380V,50Hz,22kW,6P,200L,B3";Installed;SP3.C11/AGT11/M;2043;https://www.safesave.info/MIC.php?id=Fajar-MotorList2043
EMO002045;10010890;"AC MOTOR;380V,50Hz,5.5kW,4P,132S,B3";Installed;SP3.PUL2.P4/M;2044;https://www.safesave.info/MIC.php?id=Fajar-MotorList2044
EMO003309;10010590;"AC MOTOR;380V,50Hz,7.5kW,6P,160M,B3";Installed;PM3.T2.LUB/P2/M;2045;https://www.safesave.info/MIC.php?id=Fajar-MotorList2045
EMO003218;;MOTOR,R.73WD100L-6-2,0,75/1,6KW,2,4/4,3A;Installed;PM3.REW.MOVEMENT.MOTOR/M;2046;https://www.safesave.info/MIC.php?id=Fajar-MotorList2046
EMO002807;;Core Chuck TS Motor;Installed;PM3.REW.CH.CORE TS/M;2047;https://www.safesave.info/MIC.php?id=Fajar-MotorList2047
EMO002834;;Core Chuck DS Motor;Installed;PM3.REW.CH.CORE DS/M;2048;https://www.safesave.info/MIC.php?id=Fajar-MotorList2048
EMO002938;;"AC MOTOR;380V,50Hz,3kW,2P,100L,B3";Installed;PM3.MSN.CORE CUTTER/VB/M;2049;https://www.safesave.info/MIC.php?id=Fajar-MotorList2049
EMO002918;10010656;"AC MOTOR;380V,50Hz,130kW,6P,315M,B3";Installed;PM3.AP01/M;2050;https://www.safesave.info/MIC.php?id=Fajar-MotorList2050
EMO004984;;"AC MOTOR;380V,50Hz,22kW,4P,180L,B3";Installed;PM3.AP03/M;2051;https://www.safesave.info/MIC.php?id=Fajar-MotorList2051
EMO003961;;"AC MOTOR;420V,50Hz,4500kW,6P,400H,B3";Installed;SP3.C31/P27/M;2052;https://www.safesave.info/MIC.php?id=Fajar-MotorList2052
EMO001053;;"AC MOTOR;380V,50Hz,11kW,2P,160M,B3";Installed;CH3.C03/M;2053;https://www.safesave.info/MIC.php?id=Fajar-MotorList2053
EMO000915;;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";Installed;SP3.C26/P53/M;2054;https://www.safesave.info/MIC.php?id=Fajar-MotorList2054
EMO000904;;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";Installed;SP3.C18/P83/M;2055;https://www.safesave.info/MIC.php?id=Fajar-MotorList2055
MGM000123;;GEARMOTOR,45KW;Installed;CH3.CAT.MIXING TANK/MGM;2056;https://www.safesave.info/MIC.php?id=Fajar-MotorList2056
EMO003938;;"AC MOTOR;380V,50Hz,1.5kW,4P,90l,B3";Installed;PM3.HYD.MCL/P195/M;2057;https://www.safesave.info/MIC.php?id=Fajar-MotorList2057
EMO003937;;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";Installed;PM3.HYD.MCL/P194/M;2058;https://www.safesave.info/MIC.php?id=Fajar-MotorList2058
EMO003467;10025880;MOTOR,AC,IDF-CHK11,TOSHIBA,225KW,400A,6P;Installed;PM3.REW.FR/GB/M;2059;https://www.safesave.info/MIC.php?id=Fajar-MotorList2059
