id;emo;tag_name
FP-01-PM3-LUB-T095-P102;EMO002593;PM3.T2.LUB/P1/M
FP-01-PM3-HYD-T097-P107;EMO000090;FIN3.RLHDLG/HP3-2B/M
FP-01-PM3-HYD-T097-P106;EMO002566;FIN3.RLHDLG/HP3-2A/M
FP-01-PM3-HYD-T097;EMO003369;PM3.RH-14.FC1/M
FP-01-PM3-HYD-T097;EMO003370;PM3.RH-14.FC2/M
FP-01-PM3-HYD-T096-P105;EMO002565;PM3.P1/HP3-1B/M
FP-01-PM3-HYD-T096-P104;EMO002564;PM3.P1/HP3-1A/M
FP-01-PM3-HOO-BL12;EMO002626;PM3.H-12
FP-01-PM3-HOO-BL11;EMO000229;PM3.H-11
FP-01-PM3-HOO-BL10;EMO002624;PM3.H-10
FP-01-PM3-HOO-BL09;EMO000774;PM3.H-09
FP-01-PM3-HOO-BL08;EMO001944;PM3.H-08
FP-01-PM3-HOO-BL07;EMO002620;PM3.H-07
FP-01-PM3-HOO-BL06;EMO002622;PM3.H-06
FP-01-PM3-HOO-BL05;EMO001855;PM3.H-05
FP-01-PM3-HOO-BL04;EMO000573;PM3.H-04/M
FP-01-PM3-HOO-BL03;EMO002617;PM3.H-03
FP-01-PM3-HOO-BL02;EMO002616;PM3.H-02
FP-01-PM3-HOO-BL01;EMO000990;PM3.H-01/M
FP-01-PM3-CUT-RWD1-BL14;EMO002900;PM3.TRIM BLOWER 2/M
FP-01-PM3-CUT-RWD1-BL13;EMO002883;PM3.TRIM BLOWER 1/M
FP-01-PM3-CAS-COM7;EMO001044;UTY.COM.MK.14/M
FP-01-PM3-CAS-COM6;EMO001043;UTY.COM.MK.13/M
FP-01-PM3-CAS-COM5;EMO001042;UTY.COM.MK.35/M
FP-01-PM3-CAS-COM4;EMO001041;UTY.COM.MK.34/M
FP-01-PM3-CAS-COM3;EMO001040;UTY.COM.MK.33/M
FP-01-PM3-CAS-COM2;EMO001039;UTY.COM.MK.32/M
FP-01-PM3-CAS-COM1;EMO001038;UTY.COM.MK.31/M
FP-01-PM3-BRS-T041-P066;EMO000951;PM3-BR09/P34/M
FP-01-PM3-BRS-T041-A025;EMO003512;PM3-BR09/AGT/M
FP-01-PM3-BRS-T040-P065;EMO000949;PM3-BR08/P33/M
FP-01-PM3-BRS-T040-A024;EMO002931;PM3-BR08/AGT/M
FP-01-PM3-BRS-T039-P064;EMO000947;PM3-BR07/P32/M
FP-01-PM3-BRS-T039-A023;EMO000946;PM3-BR07/AGT2/M
FP-01-PM3-BRS-T039-A022;EMO000945;PM3-BR07/AGT1/M
FP-01-PM3-BRS-T038-P063;EMO000944;PM3-BR06/P31/M
FP-01-PM3-BRS-T038-A021;EMO000942;PM3-BR06/AGT/M
FP-01-PM3-BRS-T037-P061;EMO000274;PM3-BR01/P47/M
