emo;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO003499;HUADA;58484702J;Y2;18.5;kW;380;35.5;50;4;1470;;;180 M;48;3;0.85;0.90;55;F;S1;Delta;Not Available;;;;241;279;180;;;Horizontal
EMO002001;TECO;K060092-1;AEEB;22;kW;380;42.9;50;4;1460;6311;6310;200 L;;3;;;55;F;S1;Delta;Available;;;;279;279;200;;;Horizontal
EMO002648;ABB;5582VM;HXA;7.5;kW;380;16.3;50;4;1440;6308;6307;132 L;;3;0.82;;55;F;S1;Delta;Not Available;;;;"178 
140";216;132;;;Horizontal
EMO002518;ABB;MK161005-AD;MBT;15;kW;380;30;50;4;1460;6209;6209;160 L;42;3;;;55;F;S1;Delta;Not Available;;;;;;160;;Internal;Horizontal
EMO000879;ASEA;100141;M2AA;30;kW;380;59;50;6;965;_;_;200;;3;;;55;F;S1;Delta;Available;;;;305;318;200;;;Horizontal
EMO002859;ABB;;;3;kW;380;6.5;50;4;1450;;;;;3;;;55;F;;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO001049;TECO;H2069897028;AEEB;22;kW;380;44.3;50;4;1455;6311;6310;180L;;3;;;55;F;;Delta;Not Available;;;;;;180;;Internal;Horizontal
EMO001048;ABB;GS6024193;QU;11;kW;380;22.5;50;4;1460;;;160M;;3;0.83;;55;F;;Delta;Not Available;;;;;;160;;Internal;Horizontal
EMO001047;TECO;P65B003201219;AEEB;11;kW;380;21.5;60;4;1455;6309;6307;160M;;3;;;55;F;;Delta;Not Available;;;;;;160;;Internal;Horizontal
EMO003366;TECO;P9524641;AEVB;11;kW;380;21.5;50;4;1455;6309;6307;160M;;3;;;55;F;;Delta;Not Available;;;;;;160;;Internal;Vertical
EMO003364;TECO;P9524781;AEVB;4;kW;380;9.1;50;4;1445;6306;6306;112M;;3;;;55;F;;Delta;Not Available;;;;;;112;;Internal;Vertical
EMO000853;ABB;2234444C;M2BA;5.5;kW;380;11;50;4;1470;6208;6206;132M;;3;;;55;F;S1;Delta;Not Available;;;;;;132;;Internal;Horizontal
EMO001062;ABB;;M2BA;11;kW;380;22;50;4;1445;;;160;;3;;;55;F;;Delta;Not Available;;;;;;160;;Internal;Horizontal
EMO002070;TECO;7787140023;AEEB;45;kW;380;93;50;4;1465;6313;6213;225S;;3;;;55;F;;Delta;Available;;;;;;225;;Internal;V/H
EMO001058;WAM;5116408;MT;1.1;kW;380;2.6;50;2;2850;;;;;3;0.84;;55;F;;;Not Available;;;;;;;;Internal;Vertical
EMO001052;NORD;;SK;7.5;kW;380;13.4;50;4;1460;;;132M;;3;0.77;;55;F;S1;Delta;Not Available;;;;;;132;;Internal;Vertical
MGM000998;Nord;36812781;SK;7.5;kW;380;13.4;50;4;1460;;;132M;;3;0.77;;55;F;S1;Delta;Not Available;;;;;;132;;Internal;Vertical
EMO001059;Siemens;800023172446/001;3-3FA4;7.5;kW;380;16.2;50;4;1435;6208;6208;132M;;3;;;55;F;S1;Delta;Not Available;;;;;;132;;Internal;Vertical
EMO000431;SEW;60.01094685.01.0001.06.3.M6;FA87/G DV132S4;7.5;kW;380;13.4;50;4;1460;;;132M;;3;0.77;;55;F;S1;Delta;Not Available;;;;;;132;;Internal;Vertical
EMO001954;ABB;1010309;M2BA;15;kW;380;29.5;50;4;1450;6309;6309;160L;;3;0.85;;55;F;;Delta;Not Available;;;;;;160;;Internal;Horizontal
EMO001057;SEW;201806000000000000000;RX71D;3;kW;380;6;50;4;1400;;;100L;;3;0.83;;55;F;S1;Delta;Not Available;;;;;;100;;Internal;Horizontal
EMO001056;TECO;P9524661;AEVB;3;kW;380;7.1;50;4;1400;6206;6305;100L;;3;;;55;F;;Delta;Not Available;;;;;;100;;Internal;Vertical
EMO001055;ABB;190680450;;5;HP;380;8.1;50;4;1430;6307;6306;112M;;3;;;55;F;;Delta;Not Available;;;;;;112;;Internal;Vertical
EMO005155;SIEMENS;JKD-3004756247.01.001;1LE0001-1EB4;22;kW;380;43;50;4;1480;6210;6210;180L;;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;
EMO005156;SIEMENS;JKD-3004756247.02.001;1LE0001 – 2BB2;45;kW;380;84;50;4;1480;6213;6213;225M;;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;
EMO005062;ABB;4671979;NMI 400L4A BAS;900;kW;3000;206;50;4;1450;6226;6220;;;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;HORIZONTAL
EMO005063;ABB;4671980;NMI 400L4A BAS;900;kW;3000;206;50;4;1450;6226;6220;;;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;HORIZONTAL
EMO005064;WEG;1048266484;W20 – AL 100 L - -04;3;kW;380;6.35;50;4;1400;6206;6205;;;3;;;55;F;S1;Start;Not Available;;;;;;;;Internal;VERTICAL
EMO005065;WEG;1045525141;W20 – AL 100 L - -04;3;kW;380;6.35;50;4;1400;6206;6205;;;3;;;55;F;S1;Start;Not Available;;;;;;;;Internal;VERTICAL
EMO005066;ABB;3GIC19100700515003;M2BAX 200 MLB 6;22;kW;380;46.7;50;6;985;6212;6209;;55;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;HORIZONTAL
EMO005067;ABB;3GIC19100700515002;M2BAX 200 MLB 6;22;kW;380;46.7;50;6;985;6212;6209;;55;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;HORIZONTAL
EMO005068;ABB;3GIC19110701975002;M3BP 355 LK B 8;315;kW;380;612;50;8;735;6322;6316;;100;3;;;55;F;S1;Delta;Available;;;;;;;;External;HORIZONTAL
EMO005070;ABB;3GIC191012033760002;M3BP 100LD4;3;kW;380;6.3;50;4;1480;6206;6205;;;3;;;55;F;S1;Start;Not Available;;;;;;;;Internal;VERTICAL
EMO005069;ABB;3GIC19110701975001;M3BP 355 LK B 8;315;kW;380;612;50;8;745;6322;6316;;100;3;;;55;F;S1;Delta;Available;;;;;;;;External;HORIZONTAL
EMO005071;ABB;3GIC191012033760001;M3BP 100LD4;3;kW;380;6.3;50;4;1470;6206;6205;;;3;;;55;F;S1;Start;Not Available;;;;;;;;Internal;VERTICAL
MGM000948;SIEMENS;NYU 1902/9990044-003;Z149 – LE 160 MF 4E;11;kW;380;21;50;4;1470;;;;;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;MGM
MGM000945;SIEMENS;NYU 1902/9990043-004;D169 – LES 180 ZL J4E;22;kW;380;42;50;4;1480;;;;;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;MGM
MGM000946;SIEMENS;NYU 1902/9990044-001;Z149 – LE 160 MF 4E;11;kW;380;21;50;4;1480;;;;;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;MGM
MGM000950;SIEMENS;NYU 1902/9990044-002;Z149 – LE 160 MF 4E;11;kW;380;21;50;4;1480;;;;;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;MGM
EMO005072;MARATHON;WX11007978-2002J;LVF 250M -4;55;kW;380;104;50;4;1475;6314;6314;;65;3;;;55;F;S1;Delta;Available;;;;;;;;External;HORIZONTAL
EMO005074;ECA;18067025;G 250A;0.55;kW;380;1;50;4;1480;;;;;3;;;55;F;S1;;Not Available;;;;;;;;Internal;Vertical
EMO005073;MARATHON;WX11007978-2001J;LVF 250M -4;55;kW;380;104;50;4;1475;6314;6314;;65;3;;;55;F;S1;Delta;Available;;;;;;;;External;HORIZONTAL
EMO005075;ECA;18067026;G 250A;0.55;kW;380;1;50;4;1480;;;;;3;;;55;F;S1;;Not Available;;;;;;;;Internal;Vertical
EMO005076;SIEMENS;LMN1803/800016963970/001;1LE0001 – 0EB4;1.5;kW;380;3.45;50;4;1480;6205;6205;90L;;3;;;55;F;S1;Start;Not Available;;;;;;;;Internal;VERTICAL
EMO005077;SIEMENS;LMN1809/800018095944/002;1LE0001 – 0EB4;1.5;kW;380;3.45;50;4;1480;6205;6205;90L;;3;;;55;F;S1;Start;Not Available;;;;;;;;Internal;VERTICAL
EMO005078;MARATHON;WX11007978-3005J;SCA 280MA04;90;kW;380;167;50;4;1475;6317;6317;;75;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;HORIZONTAL
EMO005079;MARATHON;WX11007978-3002J;SCA 280MA04;90;kW;380;167;50;4;1475;6317;6317;;75;3;;;55;F;S1;Delta;Available;;;;;;;;Internal;HORIZONTAL
