id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO000927;FP-01-PM1-HOO-BL28;;"AC MOTOR;380V,50HZ,18.5KW,4P,B";Installed;PM1.EXHAUST FAN 2/M;446;https://www.safesave.info/MIC.php?id=Fajar-MotorList446;2023-10-26 14:52:22
EMO000989;FP-01-PM1-WET-FOR4-HB04;;"AC MOTOR;380V,50Hz,0.37kW,4P,71M,B5";Installed;PM1.F4.HB/SW(R)/GM/M;447;https://www.safesave.info/MIC.php?id=Fajar-MotorList447;2023-10-26 14:52:23
EMO002118;FP-01-PM1-MCS-BL07;;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";Installed;PM1.MCS.BLW1/M;448;https://www.safesave.info/MIC.php?id=Fajar-MotorList448;2023-10-26 14:52:24
EMO003305;FP-01-PM1-HOO-BL27;;"MOTOR;15KW;31A;4P;380V;B";Installed;PM1.EXHAUST FAN 1/M;449;https://www.safesave.info/MIC.php?id=Fajar-MotorList449;2023-10-26 14:52:25
EMO002625;FP-01-PM1-HOO-BUR1-BL10;;"MOTOR AC;3,7KW;9,3A;2P;380V;B";Installed;PM1.HOO.BUR1/FDF/M;450;https://www.safesave.info/MIC.php?id=Fajar-MotorList450;2023-10-26 14:52:26
EMO000254;FP-01-PM1-REL-PPRL;;"MOTOR;2,2KW;5,2A";Installed;PM1.PPR.ARMS/GB/M;451;https://www.safesave.info/MIC.php?id=Fajar-MotorList451;2023-10-26 14:52:27
EMO000333;FP-01-PM1-WRS-T101-P136;;"MOTOR AC;2,2KW;4,45A;2P;380V;V";Installed;PM1.SWR.T1/P1/M;452;https://www.safesave.info/MIC.php?id=Fajar-MotorList452;2023-10-26 14:52:28
EMO000334;FP-01-PM1-WRS-T101-P137;;"MOTOR AC;3KW;6,20A;2P;380V;V";Installed;PM1.SWR.T1/P2/M;453;https://www.safesave.info/MIC.php?id=Fajar-MotorList453;2023-10-26 14:52:29
EMO002957;FP-01-PM1-WRS-T105-P147;;"MOTOR AC;15KW;29A;4P;380V;B";Installed;PM1.CWR.T2/P3/M;454;https://www.safesave.info/MIC.php?id=Fajar-MotorList454;2023-10-26 14:52:30
EMO000345;FP-01-PM1-WRS-T105-P148;;"AC MOTOR;380V,50HZ,11KW,4P,B";Installed;PM1.CWR.T2/P4/M;455;https://www.safesave.info/MIC.php?id=Fajar-MotorList455;2023-10-26 14:52:31
