"id";"tag_name";"created_at";"updated_at"
"FP-01-FN1-HYD-T352-P375";"FN1.HYD.SC03/LIFT.TBLE/HP4-03B";"2023-10-26 14:45:21";NULL
"FP-01-FN1-HYD-T356-P377";"FN1.HYD.WRP3.T356.P377/P/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-HYD-T360-P383";"FN1.HYD.T360-P383/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-HYD-T360-P384";"FN1.HYD.T360-P384/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-LUB-T353-P376";"SIMPLEX 2.6/T(OS)/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-LUB-T354-P378";"SIMPLEX 2.8/T(OS)/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-LUB-T355-P379";"DUPLEX 3.6/T1(OS)/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-LUB-T355-P380";"DUPLEX 3.6/T1(OS)/P2/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-PRS-BALL";"FIN1.BALLING PRESS/HYD.PMP/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP1-SR28";"PM1.APP1.PS1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP1-T149-A037";"PM1.APP1.C(BL)/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP1-T149-P167";"PM1.APP1.C(BL)/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP1-T150-A038";"PM1.APP1.C(MC)/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP1-T150-P168";"PM1.APP1.C(MC)/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP1-T151-P169";"PM1.APP1.SL/P(FN)/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP1-T152-P170";"PM1.APP1.T1/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP1-T153-P171";"PM1.APP1.T2/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP2-SR29";"PM1.APP2.PS1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP2-T154-A039";"PM1.APP2.C(BL)/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP2-T154-P172";"PM1.APP2.C(BL)/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP2-T155-A040";"PM1.APP2.C(MC)/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP2-T155-P173";"PM1.APP2.C(MC)/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP2-T156-P174";"PM1.APP2.SL/P(FN)/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP2-T157-P175";"PM1.APP2.T1/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP3-SR30";"PM1.APP3.PS1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP3-T159-A041";"PM1.APP3.C(BL)/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP3-T159-P176";"PM1.APP3.C(BL)/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP3-T160-A042";"PM1.APP3.C(MC)/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP3-T160-P177";"PM1.APP3.C(MC)/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP3-T161-P178";"PM1.APP3.SL/P(FN)/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP3-T162-P179";"PM1.APP3.T1/P1/M";"2023-10-26 14:45:21";NULL
