"id";"funcloc";"material_number";"equipment_description";"status";"sort_field";"unique_id";"qr_code_link";"created_at";"updated_at"
"EMO004567";"FP-01-PM8-PMA-CRN2-CTR1";;"DEMAG,ZBF112A8-2,0.46/1.90KW,2.50/4.30A,705/2855RPM,380V";"Installed";"PM8.CRN2.CTR1/M1A";"3707";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3707";"2023-10-21 12:19:21";NULL
"EMO004568";"FP-01-PM8-PMA-CRN2-LTR1";;"DEMAG,ZBF132B82,0.88/3.50KW,4.10/7.7A,8P/2P,700/2860RPM,380V";"Installed";"PM8.CRN2.LTR1/M";"3712";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3712";"2023-10-21 12:19:21";NULL
"EMO004569";"FP-01-PM8-PMA-CRN2-HST1";;"DEMAG,ZBR200B12-2,3.4/21.7KW,23/43A,470/2915RPM,380V";"Installed";"PM8.CRN2.HST1/M";"3708";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3708";"2023-10-21 12:19:21";NULL
"EMO004570";"FP-01-PM8-PMA-CRN2-HST3";;"DEMAG,ZBR200B12-2,3.4/21.7KW,23/43A,470/2915RPM,380V";"Installed";"PM8.CRN2.HST3/M";"3711";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3711";"2023-10-21 12:19:21";NULL
"EMO004571";"FP-01-PM8-PMA-CRN2-HST2";;"DEMAG,KBA112B4,5.2KW,14.2A,1410RPM,4P,380V";"Installed";"PM8.CRN2.HST2/M_FAST";"3709";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3709";"2023-10-21 12:19:21";NULL
"EMO004572";"FP-01-PM8-PMA-CRN2-HST2";;"DEMAG,KBH225B6,40KW,95A,970RPM,6P,380V";"Installed";"PM8.CRN2.HST2/M_SLOW";"3710";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3710";"2023-10-21 12:19:21";NULL
"EMO004573";"FP-01-PM8-PMA-CRN3-LTR1";;"DEMAG,ZBF132B82,0.88/3.50KW,4.10/7.7A,700/2860RPM,8P/2P,380V";"Installed";"PM8.CRN3.LTR1/M";"3715";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3715";"2023-10-21 12:19:21";NULL
"EMO004574";"FP-01-PM8-PMA-CRN3-CTR1";;"DEMAG,ZBF112A8-2,0.46/1.90KW,280/430A,705/2855RPM,380V";"Installed";"PM8.CRN3.CTR1/M1A";"3713";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3713";"2023-10-21 12:19:21";NULL
"EMO004575";"FP-01-PM8-PMA-CRN3-HST1";;"DEMAG,ZBR200B12-2,3.4/21.7KW,23/43A,470/2915RPM,380V";"Installed";"PM8.CRN3.HST1/M";"3714";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3714";"2023-10-21 12:19:21";NULL
"EMO004576";"FP-01-PM8-PMA-CRN1-CTR1";"10010506";"CRANE MOTOR;380V,50Hz,0.46KW,8P,2.5A";"Installed";"PM8.CRN1.CTR1/M1B";"3968";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3968";"2023-10-21 12:19:21";NULL
"EMO004577";"FP-01-PM8-PMA-CRN1-CTR2";"10010506";"CRANE MOTOR;380V,50Hz,0.46KW,8P,2.5A";"Installed";"PM8.CRN1.CTR2/M2A";"3970";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3970";"2023-10-21 12:19:21";NULL
"EMO004578";"FP-01-PM8-PMA-CRN1-CTR2";"10010506";"CRANE MOTOR;380V,50Hz,0.46KW,8P,2.5A";"Installed";"PM8.CRN1.CTR2/M2B";"3969";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3969";"2023-10-21 12:19:21";NULL
"EMO004579";"FP-01-PM8-PMA-CRN1-HST2";;"CRANE MOTOR;380V,50Hz,1.40KW,10P,9.60A";"Installed";"PM8.CRN1.HST2/M";"3967";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3967";"2023-10-21 12:19:21";NULL
"EMO004580";"FP-01-PM8-PMA-CRN1-LTR2";"10010639";"CRANE MOTOR;380V,50Hz,0.88KW,8P,4.10A";"Installed";"PM8.CRN1.LTR2/M";"3966";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3966";"2023-10-21 12:19:21";NULL
"EMO004581";"FP-01-PM8-PMA-CRN2-CTR1";"10010506";"CRANE MOTOR;380V,50Hz,0.46KW,8P,2.5A";"Installed";"PM8.CRN2.CTR1/M1B";"3960";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3960";"2023-10-21 12:19:21";NULL
"EMO004582";"FP-01-PM8-PMA-CRN2-CTR2";"10010506";"CRANE MOTOR;380V,50Hz,0.46KW,8P,2.5A";"Installed";"PM8.CRN2.CTR2/M2A";"3961";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3961";"2023-10-21 12:19:21";NULL
"EMO004583";"FP-01-PM8-PMA-CRN2-CTR2";"10010506";"CRANE MOTOR;380V,50Hz,0.46KW,8P,2.5A";"Installed";"PM8.CRN2.CTR2/M2B";"3962";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3962";"2023-10-21 12:19:21";NULL
"EMO004584";"FP-01-PM8-PMA-CRN2-CTR3";"10010506";"CRANE MOTOR;380V,50Hz,0.46KW,8P,2.5A";"Installed";"PM8.CRN2.CTR3/M3A";"3963";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3963";"2023-10-21 12:19:21";NULL
"EMO004585";"FP-01-PM8-PMA-CRN2-CTR3";"10010506";"CRANE MOTOR;380V,50Hz,0.46KW,8P,2.5A";"Installed";"PM8.CRN2.CTR3/M3B";"3964";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3964";"2023-10-21 12:19:21";NULL
"EMO004586";"FP-01-PM8-PMA-CRN2-LTR2";"10010639";"CRANE MOTOR;380V,50Hz,0.88KW,8P,4.10A";"Installed";"PM8.CRN2.LTR2/M";"3965";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3965";"2023-10-21 12:19:21";NULL
"EMO004587";"FP-01-PM8-PMA-CRN3-CTR1";"10010506";"CRANE MOTOR;380V,50Hz,0.46KW,8P,2.5A";"Installed";"PM8.CRN3.CTR1/M1B";"3973";"https://www.safesave.info/MIC.php?id=Fajar-MotorList3973";"2023-10-21 12:19:21";NULL
