emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO003948;TMEIC;D167140ML;ICD-CHKM11;480;KW;355/365;980/880;50;4P/12P;458/1935;6232;6230;450-1400;;3;;;44;Class B;S1;;Available;;;;;;450;;Internal;Horizontal
EMO004559;Toshiba;FCKLSW21E;IKH6;3.7;KW;380;7.9;58.7;4P;1460;6207;6206;112M;;3;;;44;Clas F;S1;;Available;;;;Drive;;355;;Internal;Horizontal
EMO004521;TMEIC;;IDFCHK11;500;kw;420;800;58.7;4P;1750;6224;6224;355H;;3;;;44;Class F;S1;;Available;;;;Drive;;355;;Internal;Horizontal
EMO004522;TMEIC;;IDFCHK11;500;kw;420;800;50;4P;1750;6224;6224;355H;;3;;;44;Class F;S1;;Available;;;;Drive;;355;;Internal;Horizontal
EMO004495;TMEIC;E167150HF;IDFCHK11;75;kw;420;123;59;4P;1750;6218;6216;250na;;3;;;44;Class F;S1;;Available;;;;Drive;;250;;Internal;Horizontal
EMO004496;TMEIC;E167160HF;IDFCHK11;250;KW;420;405;58.8;4P;1750;6220;6220;280L;;3;;;44;Class F;S1;;Available;;;;Drive;;280;;Internal;Horizontal
EMO004497;TMEIC;E167110HF;IDFCHK11;300;KW;420;500;59;4P;1750;6220;6220;315H;;3;;;44;Class F;S1;;Available;;;;Drive;;315;;Internal;Horizontal
EMO004498;TMEIC;E167120HF;IDFCHK11;335;KW;420;535;59;4P;1750;6220;6220;315H;;3;;;44;Class F;S1;;Available;;;;Drive;;315;;Internal;Horizontal
EMO004499;TMEIC;E167130HF;IDFCHK11;400;KW;420;630;59;4P;1750;6224;6224;355H;;3;;;44;Class F;S1;;Available;;;;Drive;;355;;Internal;Horizontal
EMO004500;TMEIC;E167140HF;IDFCHK11;400;KW;420;630;59;4P;1750;6224;6224;355H;;3;;;44;Class F;S1;;Available;;;;Drive;;355;;Internal;Horizontal
EMO004501;TMEIC;E167150HF;IDFCHK11;400;KW;420;630;59;4P;1750;6224;6224;355H;;3;;;44;Class F;S1;;Available;;;;Drive;;355;;Internal;Horizontal
EMO004502;TOSHIBA;60027252;IKK;15;KW;420;26;60;4P;1750;6310;6208;160L;;3;;;44;Class F;S1;;Available;;;;Drive;;160;;Internal;Horizontal
EMO004508;TMEIC;E167190HM;IDFCHK11;75;KW;420;123;59;4P;1750;6218;6216;250MA;;3;;;44;Class F;S1;;Available;;;;Drive;;250;;Internal;Horizontal
EMO004509;TMEIC;E167160HF;IDFCHK11;335;KW;420;535;59;4P;1750;6220;6220;315H;;3;;;44;Class F;S1;;Available;;;;Drive;;315;;Internal;Horizontal
EMO004510;TMEIC;E167170HF;IDFCHK11;500;KW;420;800;58.7;4P;1750;6224;6224;355H;;3;;;44;Class F;S1;;Available;;;;Drive;;3565;;Internal;Horizontal
EMO004511;TOSHIBA;60027250;TIKK;15;KW;420;26;60;4P;1750;6310;6208;160L;;3;;;44;Class F;S1;;Not Available;;;;Drive;;160;;Internal;Horizontal
EMO004503;TOSHIBA;60027253;IKK;11;KW;420;19.5;60;4P;1750;6310;6208;160M;;3;;;44;Class F;S1;;Available;;;;Drive;;160;;Internal;Horizontal
EMO004504;TOSHIBA;60027258;IKK;11;KW;420;19.5;60;4P;1750;6310;6208;160M;;3;;;44;Class F;S1;;Available;;;;Drive;;160;;Internal;Horizontal
EMO004505;TMEIC;E167170HM;IDFCHK11;250;KW;420;405;58.8;4P;1750;6220;6220;280L;;3;;;44;Class F;S1;;Available;;;;Drive;;280;;Internal;Horizontal
EMO004506;TMEIC;E167180HM;IDFCHK11;110;KW;420;178;59;4P;1750;6220;6220;280MD;;3;;;44;Class F;S1;;Available;;;;Drive;;280;;Internal;Horizontal
EMO004507;TOSHIBA;60027251;TIKK;15;KW;420;26;50;4P;1480;6310;6208;160L;;3;;;44;Class F;S1;;Available;;;;Drive;;160;;Internal;Horizontal
EMO004136;Marathon;72105405i;HJN1;90;kW;380;167;50;4P;1480;6317;6317;280M;;3;0.87;94.2;55;Class F;S1;Delta;Available;;;;425;460;280;;Internal;Horizontal
EMO004137;Marathon;72105403i;HJN1;90;kW;380;167;50;4P;1460;6317;6317;280M;;3;0.87;94.2;55;Class F;S1;Delta;Available;;;;425;460;280;;Internal;Horizontal
EMO004455;TECO;;AEEB;7.5;KW;380;15.2;50;4P;1460;6309;6306;132S;;3;;;55;Class F;S1;Delta;Not Available;;;;;;132;;Internal;Vertical
EMO004456;TECO;;AEEB;7.5;KW;380;15.2;50;4P;1460;6309;6306;132S;;3;;;55;Class F;S1;Delta;Not Available;;;;;;132;;Internal;Vertical
EMO004457;TECO;;AEEB;7.5;KW;380;15.2;50;4P;1470;6309;6306;132S;;3;;;55;Class F;S1;Delta;Not Available;;;;;;132;;Internal;Vertical
EMO004138;Marathon;72104401J;HJN1;30;kW;380;57.4;50;2P;2970;6312;6312;100L;;3;0.86;92.3;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004115;Marathon;72105501J;HJN1;90;kW;380;160;50;2P;2880;6314;6314;280M;;3;0.91;;55;Class F;S1;Delta;Available;;;;;;;;Internal;Horizontal
EMO004116;Marathon;72106602J;HAA;200;kW;3000;54.2;50;2P;2880;6319;6319;355;;3;0.85;91.76;55;Class F;S1;Start;Available;;;;;;;;Internal;Horizontal
EMO004117;Marathon;72106605J;HAA;200;kW;3000;54.2;50;2P;2970;6319;6319;355;;3;0.85;91.76;55;Class F;S1;Start;Available;;;;;;;;Internal;Horizontal
EMO004118;Marathon;72105309J;HJN1;75;kW;380;135;50;4P;1470;6314;6314;280S;;3;0.9;;55;Class F;S1;Delta;Available;;;;;;;;Internal;Horizontal
EMO004119;Marathon;72104101J;HJN1;18.5;kW;380;35.8;50;4P;1470;6311;6311;180M;;3;0.86;;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004127;Marathon;72104304J;HJN1;22;kW;380;42.4;50;2P;2965;6311;6311;180M;;3;0.86;;55;Class F;S1;Delta;Not Available;;;;240;280;180;;Internal;Horizontal
EMO004120;Marathon;72104901J;HJN1;45;kW;380;81.8;50;2P;2965;6313;6313;225M;;3;0.9;;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004121;Marathon;72104413J;HJN1;30;kW;380;57.4;50;4P;1470;6312;6312;200L;;3;0.86;92.3;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004122;Marathon;72104402J;HJN1;30;kW;380;57.4;50;4P;1465;6312;6312;200L;;3;0.86;92.3;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004123;Marathon;72103902J;HJN1;11;kW;380;22.2;50;4P;1465;6309;6309;160M;;3;0.84;89.8;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Horizontal
EMO004321;GRUNDFOS;CR5-26 AFGJA-E-HQQE;A96513391P31602;4;;380;7.92;50;2P;2900;;;HJN1;;3;;;;;;;;;;;215;250;160;;Internal;Horizontal
