id;status;funcloc;sort_field;material_number;equipment_description;unique_id;qr_code_link;created_at
EMO000062;Installed;FP-01-PM2-WRS-FU12-P132;PM2.MODIFIED/2;;"AC MOTOR;380V,50Hz,30kW,2P,200L,B3";1136;https://www.safesave.info/MIC.php?id=Fajar-MotorList1136;2023-11-21 08:45:10
EMO003458;Installed;FP-01-PM3-DRY-GRP1;PM3.G1.GB/M;10023986;"DC MOTOR;460V,40Hz,150kW,240A";1137;https://www.safesave.info/MIC.php?id=Fajar-MotorList1137;2023-11-21 08:45:11
EMO002076;Installed;FP-01-SP7-OCC-SR07;SP7.M-23/M;10020908;"AC MOTOR;380V,50Hz,160kW,8P,355M,B3";1138;https://www.safesave.info/MIC.php?id=Fajar-MotorList1138;2023-11-21 08:45:12
EMO000823;Installed;FP-01-PM2-VAS-VP12;PM2.VAC.VP10/M;;"AC MOTOR;3kV,50Hz,410kW,6P,450A";1139;https://www.safesave.info/MIC.php?id=Fajar-MotorList1139;2023-11-21 08:45:13
EMO000822;Installed;FP-01-PM2-VAS-VP11;PM2.VAC.VP9/M;;"AC MOTOR;3.3kV,50Hz,250kW,6P,355L,B";1140;https://www.safesave.info/MIC.php?id=Fajar-MotorList1140;2023-11-21 08:45:14
EMO000821;Available;;;10010967;"AC MOTOR;3000V,50Hz,250kW,6P,355L,B3";1141;https://www.safesave.info/MIC.php?id=Fajar-MotorList1141;2023-11-21 08:45:15
EMO000820;Installed;FP-01-PM2-VAS-VP09;PM2.VAC.VP7/M;;"AC MOTOR;3.3kV,50Hz,250kW,6P,355L,B";1142;https://www.safesave.info/MIC.php?id=Fajar-MotorList1142;2023-11-21 08:45:16
EMO000819;Installed;FP-01-PM2-VAS-VP08;PM2.VAC.VP6/M;;"AC MOTOR;3kV,50Hz,184kW,12P,560A,B";1143;https://www.safesave.info/MIC.php?id=Fajar-MotorList1143;2023-11-21 08:45:17
EMO000818;Installed;FP-01-PM2-VAS-VP07;PM2.VAC.VP5/M;;"AC MOTOR;3kV,50Hz,184kW,12P,560A,B";1144;https://www.safesave.info/MIC.php?id=Fajar-MotorList1144;2023-11-21 08:45:18
EMO000817;Installed;FP-01-PM2-VAS-VP06;PM2.VAC.VP4/M;;"AC MOTOR;380V,50Hz,250kW,6P,355,B";1145;https://www.safesave.info/MIC.php?id=Fajar-MotorList1145;2023-11-21 08:45:19
EMO000816;Installed;FP-01-PM2-VAS-VP05;PM2.VAC.VP3/M;;"AC MOTOR;3kV,50Hz,184kW,12P,560A,B";1146;https://www.safesave.info/MIC.php?id=Fajar-MotorList1146;2023-11-21 08:45:20
EMO000815;Installed;FP-01-PM2-VAS-VP04;PM2.VAC.VP2/M;;"AC MOTOR;380V,50Hz,200kW,6P,355CB,B";1147;https://www.safesave.info/MIC.php?id=Fajar-MotorList1147;2023-11-21 08:45:21
EMO000814;Installed;FP-01-PM2-VAS-VP03;PM2.VAC.VP1/M;;"AC MOTOR;3kV,50Hz,410kW,6P,450A";1148;https://www.safesave.info/MIC.php?id=Fajar-MotorList1148;2023-11-21 08:45:22
EMO003968;Installed;FP-01-PM2-VAS-T134-P143;PM2.SEALING W/P2/M;10010684;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";1149;https://www.safesave.info/MIC.php?id=Fajar-MotorList1149;2023-11-21 08:45:23
EMO003754;Installed;FP-01-PM2-VAS-T134-P142;PM2.SEALING W/P1/M;10034663;"AC MOTOR;380V,50Hz,90kW,2P,280M,B3";1150;https://www.safesave.info/MIC.php?id=Fajar-MotorList1150;2023-11-21 08:45:24
EMO004946;Available;;;10010721;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";1151;https://www.safesave.info/MIC.php?id=Fajar-MotorList1151;2023-11-21 08:45:25
