id;status;sort_field;funcloc;material_number;equipment_description;unique_id;qr_code_link;created_at
MGB000222;Installed;PM5.VP07.GB;FP-01-PM5-VAS-VP07;;"GR.BOX;i=6.285,M2PSF50,SEW- EURODRIVE";;;2023-11-21 10:32:02
MGB000765;Installed;PM5.VP08.GB;FP-01-PM5-VAS-VP08;10025212;"GR.BOX;i=5.58,MIPSF80N,SEW";;;2023-11-21 10:32:03
EMO003946;Installed;PM5.VP09.GB/M;FP-01-PM5-VAS-VP09;10029166;"AC MOTOR;3kV,50Hz,300kW,4P,355A,B3";;;2023-11-21 10:32:04
MGB000224;Installed;PM5.VP09.GB;FP-01-PM5-VAS-VP09;;"GR.BOX;i=6.285;M2PSF50;SEW- EURODRIVE";;;2023-11-21 10:32:05
MGB000225;Installed;PM5.VP10.GB;FP-01-PM5-VAS-VP10;;"GR.BOX;i=6.285,M2PSF50,SEW- EURODRIVE";;;2023-11-21 10:32:06
MGB000226;Installed;PM5.VP11.GB;FP-01-PM5-VAS-VP11;;"GR.BOX;i=1.576,M1PSF70,SEW- EURODRIVE";;;2023-11-21 10:32:07
MGB001147;Installed;PM5.VAS/VP-18101000/GB;FP-01-PM5-VAS-VP12;;"GR.BOX;i=?,R1T 450,WIKOV";;;2023-11-21 10:32:08
MGB001148;Installed;PM5.VAS/VP-28101003/GB;FP-01-PM5-VAS-VP13;;"GR.BOX;i=?,RSB 304.8,WIKOV";;;2023-11-21 10:32:09
MGM000686;Installed;PM5.BTWR.HORZ.ADJUST.BOTT/GM;FP-01-PM5-WET-BTWR;;"GR.MOTOR;0.37KW,HORIZ ADJUST BOTTOM LIP";;;2023-11-21 10:32:10
MGM000688;Installed;PM5.BTWR.VER.ADJUST.TOP/GM;FP-01-PM5-WET-BTWR;;"GR.MOTOR;3KW,VERTICAL ADJUST TOP LIP";;;2023-11-21 10:32:11
MGB000657;Installed;PM5.FDN.DR/GB;FP-01-PM5-WET-BTWR-DR01;10024412;"GR.BOX;i=3.304,YHD100P2A-R2L-3.304,PARAM";;;2023-11-21 10:32:12
MGB000241;Installed;PM5.FDN.SCR/GB;FP-01-PM5-WET-BTWR-SCR1;10025140;"GR.BOX;i=3.842,PHD9090P11-RLF-3.842,PARA";;;2023-11-21 10:32:13
EMO003662;Installed;PM5.WET.BTWR/HP.SW02.MOTOR;FP-01-PM5-WET-BTWR-SW02;;MOTOR KADANT GENESIS HP SHOWER;;;2023-11-21 10:32:14
MDO000477;Installed;PM5.FDN/WR2/(OS)DO;FP-01-PM5-WET-BTWR-WR02;;"OSC.DOCTOR;BOTTOM WIRE 2";;;2023-11-21 10:32:15
MDO000478;Installed;PM5.FDN.WR4/(OS)DO;FP-01-PM5-WET-BTWR-WR04;;"OSC.DOCTOR;BOTTOM WIRE 4";;;2023-11-21 10:32:16
MGB000274;Installed;PM5.BTWRR/GB;FP-01-PM5-WET-BTWR-WR06;10024989;"GR.BOX;i=3.1,PHA9050 P11-LRF-3.15,PARAMA";;;2023-11-21 10:32:17
MGB000660;Installed;PM5.P1.R(BT)GB;FP-01-PM5-WET-PRS1-PSRB;10008679;"GR.BOX;i=7.835,PHD9085P2-RLF-8,PARAMAX";;;2023-11-21 10:32:18
MGB000243;Installed;PM5.P1.R(TP)/GB;FP-01-PM5-WET-PRS1-PSRT;;"GR.BOX;i=7.835,PHD9085P2-RLF-8,PARAMAX";;;2023-11-21 10:32:19
MGB000242;Installed;PM5.P1.PUR/GB;FP-01-PM5-WET-PRS1-PUR1;;"GR.BOX;i=4.063,PHA9050P11-RLF-4,PARAMAX";;;2023-11-21 10:32:20
MGB000244;Installed;PM5.P1.SFR/GB;FP-01-PM5-WET-PRS1-SFR1;;"GR.BOX;i=3.1,PHA9050P12-RL-3.15,PARAMAX";;;2023-11-21 10:32:21
MGM000882;Installed;PM5.P1.STRETCHER.TP/GM;FP-01-PM5-WET-PRS1-SM11;10031387;"GR.MOTOR;1.8kW,i=7,TL-508,JUD";;;2023-11-21 10:32:22
MGM000971;Installed;PM5.P1.STRETCHER.BT/GM;FP-01-PM5-WET-PRS1-SM12;10031359;"GR.MOTOR;1.5kW,i=24.19,AS30F090B5,BONFIG";;;2023-11-21 10:32:23
MGB000248;Installed;PM5.P2.R(BT)GB;FP-01-PM5-WET-PRS2-PSRB;;GEARBOX;;;2023-11-21 10:32:24
MGB000247;Installed;PM5.P2.R(TP)/GB;FP-01-PM5-WET-PRS2-PSRT;;GEARBOX;;;2023-11-21 10:32:25
