id;status;funcloc;sort_field;material_number;equipment_description;unique_id;qr_code_link;created_at
EMO004730;Installed;FP-01-BO5-THS-P010;BO5.THS.P010/P1M2921/M;;"MOTOR FEED WATER PUMP;1M2921";5823;https://www.safesave.info/MIC.php?id=Fajar-MotorList5823;2023-11-21 09:30:56
EMO004731;Installed;FP-01-BO5-THS-P011;BO5.THS.P011/P1M2931/M;;"MOTOR FEED WATER PUMP;1M2931";5824;https://www.safesave.info/MIC.php?id=Fajar-MotorList5824;2023-11-21 09:30:57
EMO004765;Available;;;;DELETED;5825;https://www.safesave.info/MIC.php?id=Fajar-MotorList5825;2023-11-21 09:30:58
EMO004843;Available;;;;DELETED;5826;https://www.safesave.info/MIC.php?id=Fajar-MotorList5826;2023-11-21 09:30:59
EMO004766;Available;;;;DELETED;5827;https://www.safesave.info/MIC.php?id=Fajar-MotorList5827;2023-11-21 09:31:01
EMO004844;Available;;;;DELETED;5828;https://www.safesave.info/MIC.php?id=Fajar-MotorList5828;2023-11-21 09:31:02
EMO004785;Available;;;;DELETED;5829;https://www.safesave.info/MIC.php?id=Fajar-MotorList5829;2023-11-21 09:31:03
EMO004845;Available;;;;DELETED;5830;https://www.safesave.info/MIC.php?id=Fajar-MotorList5830;2023-11-21 09:31:04
EMO004837;Available;;;;DELETED;5831;https://www.safesave.info/MIC.php?id=Fajar-MotorList5831;2023-11-21 09:31:05
EMO004846;Available;;;;DELETED;5832;https://www.safesave.info/MIC.php?id=Fajar-MotorList5832;2023-11-21 09:31:06
EMO004838;Available;;;;DELETED;5833;https://www.safesave.info/MIC.php?id=Fajar-MotorList5833;2023-11-21 09:31:07
EMO004847;Available;;;;DELETED;5834;https://www.safesave.info/MIC.php?id=Fajar-MotorList5834;2023-11-21 09:31:08
EMO005048;Available;;BO3.CMS.MF01/M;10034697;"AC MOTOR;380V,50Hz,4kW,4P,112M,B3";5835;https://www.safesave.info/MIC.php?id=Fajar-MotorList5835;2023-11-21 09:31:09
EMO004839;Available;;;;DELETED;5838;https://www.safesave.info/MIC.php?id=Fajar-MotorList5838;2023-11-21 09:31:10
EMO004848;Available;;;;DELETED;5839;https://www.safesave.info/MIC.php?id=Fajar-MotorList5839;2023-11-21 09:31:11
EMO004840;Available;;;;DELETED;5840;https://www.safesave.info/MIC.php?id=Fajar-MotorList5840;2023-11-21 09:31:12
EMO004849;Available;;;;DELETED;5841;https://www.safesave.info/MIC.php?id=Fajar-MotorList5841;2023-11-21 09:31:13
EMO004841;Available;;;;DELETED;5842;https://www.safesave.info/MIC.php?id=Fajar-MotorList5842;2023-11-21 09:31:14
EMO004850;Available;;;;DELETED;5843;https://www.safesave.info/MIC.php?id=Fajar-MotorList5843;2023-11-21 09:31:15
EMO004842;Available;;;;DELETED;5844;https://www.safesave.info/MIC.php?id=Fajar-MotorList5844;2023-11-21 09:31:16
EMO004851;Available;;;;DELETED;5845;https://www.safesave.info/MIC.php?id=Fajar-MotorList5845;2023-11-21 09:31:17
EMO005194;Installed;FP-01-BO6-CMS-BL01;BO6.CMS.BL01/2M0301/M;10033787;"AC MOTOR;3000V,50Hz,500kW,4P,450M,B3";5846;https://www.safesave.info/MIC.php?id=Fajar-MotorList5846;2023-11-21 09:31:18
EMO004787;Installed;FP-01-BO6-CMS-BL02;BO6.CMS.BL02/2M0341/M;;Motor Bolier Secondary Air Fan 2M0341;5847;https://www.safesave.info/MIC.php?id=Fajar-MotorList5847;2023-11-21 09:31:19
